x1,x2,x3,x4,x5,x6,x7,x8,x9,y
40,1,37.0,1,1-2 Year,No,50806.0,156.0,16,0
50,1,12.0,0,1-2 Year,Yes,34656.0,124.0,182,0
47,1,28.0,1,1-2 Year,No,51590.0,124.0,98,0
44,1,28.0,0,> 2 Years,Yes,45383.0,124.0,221,1
56,1,30.0,0,> 2 Years,Yes,38527.0,124.0,218,0
25,1,29.0,1,< 1 Year,No,24595.0,152.0,52,0
29,1,20.0,1,< 1 Year,No,2630.0,152.0,35,0
32,1,46.0,0,1-2 Year,Yes,28946.0,156.0,245,1
66,1,10.0,1,1-2 Year,No,46664.0,26.0,113,0
39,1,23.0,0,1-2 Year,Yes,22557.0,124.0,144,1
22,1,13.0,1,< 1 Year,No,21917.0,152.0,186,0
38,1,46.0,1,1-2 Year,No,31222.0,152.0,138,0
26,1,36.0,1,< 1 Year,No,32928.0,152.0,248,0
60,1,28.0,0,1-2 Year,Yes,51208.0,13.0,227,0
30,1,3.0,1,< 1 Year,No,28736.0,152.0,101,0
24,1,14.0,1,< 1 Year,No,30047.0,152.0,137,0
72,1,28.0,0,1-2 Year,Yes,28020.0,26.0,232,0
72,1,28.0,0,1-2 Year,Yes,40774.0,124.0,63,0
47,1,46.0,0,1-2 Year,Yes,34579.0,124.0,187,0
21,1,2.0,0,< 1 Year,Yes,30175.0,160.0,111,0
23,1,14.0,1,< 1 Year,No,2630.0,152.0,70,0
56,1,28.0,0,1-2 Year,Yes,35081.0,124.0,127,1
47,1,28.0,1,1-2 Year,No,35277.0,124.0,46,0
24,1,5.0,0,< 1 Year,No,38849.0,152.0,142,0
50,1,28.0,0,1-2 Year,Yes,39152.0,124.0,155,0
40,1,28.0,1,1-2 Year,No,41649.0,125.0,170,0
37,1,46.0,0,> 2 Years,Yes,25515.0,154.0,110,1
55,1,28.0,0,1-2 Year,Yes,48680.0,26.0,17,0
21,1,15.0,0,< 1 Year,Yes,27738.0,160.0,124,0
51,1,28.0,1,1-2 Year,No,35187.0,26.0,75,0
64,1,46.0,1,1-2 Year,No,44295.0,124.0,289,0
28,1,50.0,1,< 1 Year,No,53216.0,152.0,239,0
23,1,8.0,1,< 1 Year,Yes,37287.0,26.0,121,0
51,1,3.0,0,1-2 Year,Yes,24920.0,124.0,217,0
26,1,40.0,1,< 1 Year,No,16501.0,26.0,62,0
53,1,1.0,0,1-2 Year,Yes,2630.0,26.0,297,0
47,1,46.0,0,1-2 Year,Yes,52118.0,124.0,166,0
40,1,28.0,0,1-2 Year,Yes,39235.0,124.0,46,1
32,1,33.0,1,< 1 Year,No,33410.0,152.0,44,0
43,1,28.0,0,1-2 Year,Yes,71116.0,26.0,171,0
22,1,10.0,1,< 1 Year,No,17197.0,152.0,60,0
21,1,8.0,0,< 1 Year,Yes,52561.0,160.0,122,0
24,1,7.0,0,< 1 Year,Yes,27301.0,152.0,130,0
24,1,3.0,1,< 1 Year,No,24496.0,152.0,59,0
25,1,12.0,1,< 1 Year,No,2630.0,160.0,98,0
58,1,39.0,0,> 2 Years,Yes,41791.0,26.0,190,0
39,1,28.0,0,1-2 Year,Yes,38029.0,124.0,37,1
23,1,6.0,1,< 1 Year,No,22410.0,152.0,174,0
30,1,23.0,1,1-2 Year,Yes,39852.0,124.0,121,0
46,1,28.0,0,1-2 Year,Yes,46055.0,26.0,99,0
40,1,27.0,0,1-2 Year,Yes,28353.0,26.0,85,0
27,1,15.0,0,< 1 Year,Yes,40224.0,152.0,224,0
41,1,36.0,1,1-2 Year,No,29345.0,124.0,214,0
26,1,28.0,1,1-2 Year,No,2630.0,156.0,256,0
49,1,9.0,0,1-2 Year,Yes,2630.0,157.0,85,0
51,1,8.0,1,1-2 Year,No,26906.0,26.0,279,0
24,1,24.0,1,< 1 Year,No,35707.0,152.0,61,0
28,1,28.0,0,1-2 Year,Yes,2630.0,156.0,168,0
22,1,8.0,0,< 1 Year,Yes,53487.0,152.0,271,0
45,1,28.0,0,1-2 Year,Yes,41193.0,124.0,285,0
22,1,41.0,1,< 1 Year,No,48301.0,152.0,27,0
36,1,35.0,0,1-2 Year,Yes,35283.0,26.0,20,1
22,1,50.0,1,< 1 Year,No,36702.0,152.0,238,0
30,1,11.0,1,< 1 Year,No,28381.0,152.0,178,0
27,1,26.0,0,< 1 Year,Yes,29027.0,22.0,92,0
42,1,28.0,0,1-2 Year,Yes,32921.0,124.0,221,1
52,1,48.0,0,1-2 Year,Yes,2630.0,124.0,143,0
26,1,50.0,1,< 1 Year,No,2630.0,152.0,72,0
60,1,28.0,0,1-2 Year,Yes,77247.0,26.0,53,0
30,1,35.0,1,< 1 Year,No,49885.0,152.0,117,0
22,1,6.0,0,< 1 Year,Yes,21001.0,152.0,106,1
47,1,46.0,0,1-2 Year,Yes,2630.0,157.0,110,1
27,1,28.0,1,< 1 Year,No,32732.0,152.0,229,0
63,1,47.0,0,1-2 Year,Yes,19913.0,26.0,226,0
40,1,28.0,0,1-2 Year,Yes,2630.0,124.0,92,1
44,1,43.0,1,1-2 Year,No,30284.0,124.0,208,0
47,1,8.0,1,1-2 Year,No,30543.0,82.0,265,0
49,1,29.0,1,1-2 Year,No,33827.0,124.0,89,0
40,1,28.0,0,> 2 Years,Yes,2630.0,156.0,227,0
20,1,13.0,1,< 1 Year,No,28255.0,160.0,274,0
30,1,37.0,0,< 1 Year,No,42244.0,26.0,252,0
21,1,8.0,1,< 1 Year,No,38762.0,160.0,69,0
